header,date,url
Exhibit: Naturally Beautiful: Uncovering Nature in the 19th-Century Home,SEPT 23 - MARCH 27,https://hub.jhu.edu/events/2021/09/23/naturally-beautiful-uncovering-nature-in-the-nineteenth-century-home/
Art Glass at Evergreen,DEC 2 - APRIL 17,https://hub.jhu.edu/events/2021/12/02/art-glass-at-evergreen/
Exhibit: Brice Brown: Proscenium,JAN 29 - MAY 1,https://hub.jhu.edu/events/2022/01/29/brice-brown-proscenium/
[CRAAV] Special Feature: Jane Jin Kaisen,MARCH 4 - APRIL 10,https://hub.jhu.edu/events/2022/03/04/craav-special-feature-jane-jin-kaisen-march-4-april-10-2022-snf-parkway-theater/
Vision Chats: The Future of Global Work,TODAY,https://hub.jhu.edu/events/2022/03/17/vision-chats-the-future-of-global-work/
Department of Mechanical Engineering Spring Virtual Seminar Series: Jake Abbott,TODAY,https://hub.jhu.edu/events/2022/03/17/department-of-mechanical-engineering-spring-virtual-seminar-series/
DMC Workshop: Intro to Adobe Illustrator,TODAY,https://hub.jhu.edu/events/2022/03/17/dmc-workshop-intro-to-adobe-illustrator/
The Nurse Antigone,TODAY,https://hub.jhu.edu/events/2022/03/17/the-nurse-antigone/
Foreign Affairs Symposium: Amanda Nguyen,TODAY,https://hub.jhu.edu/events/2022/03/17/foreign-affairs-symposium-amanda-nguyen-womens-rights-activist/
Hinun Zurüch and Les Mamelles De Tirésias,TODAY,https://hub.jhu.edu/events/2022/03/17/peabody-hin-und-zuruck-and-les-mamelles-de-tiresias/
International Student Coffee Break & Chat,MARCH 18,https://hub.jhu.edu/events/2022/03/18/international-student-coffee-break-chat/
Friday Noon:30 Recital: Brass,MARCH 18,https://hub.jhu.edu/events/2022/03/18/peabody-friday-noon-brass/
Johns Hopkins Teaching Academy Inclusive Pedagogy Series: Khadijah A. Mitchell,MARCH 18,https://hub.jhu.edu/events/2022/03/18/jhu-teaching-academy-inclusive-pedagogy-series-meet-the-author-what-inclusive-instructors-do-dr-khadijah-a-mitchell/
Hinun Zurüch and Les Mamelles De Tirésias,MARCH 18,https://hub.jhu.edu/events/2022/03/18/peabody-hin-und-zuruck-and-les-mamelles-de-tiresias/
Weekly Meditation,MARCH 19,https://hub.jhu.edu/events/2022/03/19/weekly-meditation/
Preparatory Signature Recital,MARCH 19,https://hub.jhu.edu/events/2022/03/19/peabody-preparatory-signature-recital/
Hinun Zurüch and Les Mamelles De Tirésias,MARCH 19,https://hub.jhu.edu/events/2022/03/19/peabody-hin-und-zuruck-and-les-mamelles-de-tiresias/
Hinun Zurüch and Les Mamelles De Tirésias,MARCH 20,https://hub.jhu.edu/events/2022/03/20/peabody-hin-und-zuruck-and-les-mamelles-de-tiresias/
Virtual Sound Rounds,MARCH 21,https://hub.jhu.edu/events/2022/03/21/virtual-sound-rounds/
Chat with an African Counselor,MARCH 21,https://hub.jhu.edu/events/2022/03/21/chat-with-an-african-counselor/
Chat with a Muslim Counselor,MARCH 21,https://hub.jhu.edu/events/2022/03/21/chat-with-a-muslim-counselor/
Computer Science Seminar Series: Eric Wong,MARCH 22,https://hub.jhu.edu/events/2022/03/22/cs-seminar-series-eric-wong-building-the-reliability-stack-for-machine-learning/
Homewood SDS Faculty Training,MARCH 22,https://hub.jhu.edu/events/2022/03/22/homewood-sds-faculty-training/
Virtual Sound Rounds,MARCH 22,https://hub.jhu.edu/events/2022/03/22/virtual-sound-rounds/
What's Next in Global Health Equity? Insights from the Funding Community,MARCH 23,https://hub.jhu.edu/events/2022/03/23/whats-next-in-global-health-equity-insights-from-the-funding-community/
Homewood SDS Faculty Training,MARCH 23,https://hub.jhu.edu/events/2022/03/23/homewood-sds-faculty-training/
Emerging CEO Panel Series: Idea Stage and Planning,MARCH 23,https://hub.jhu.edu/events/2022/03/23/emerging-ceo-panel-series/
Lean Semesters: How Higher Education Reproduces Inequity,MARCH 23,https://hub.jhu.edu/events/2022/03/23/how-higher-education-reproduces-inequity/
Sketching at Evergreen: Drawing Room,MARCH 24,https://hub.jhu.edu/events/2022/03/24/sketching-at-evergreen-drawing-room/
Heritage 365 Cultural Experience: APIDA Heritage Celebration,MARCH 24,https://hub.jhu.edu/events/2022/03/24/heritage-365-cultural-experience-apida-heritage-celebration/
"The Cryptocurrency Age: Past, Present, and Future",MARCH 25,https://hub.jhu.edu/events/2022/03/25/the-cryptocurrency-age-past-present-and-future/
Expungement clinic,MARCH 26,https://hub.jhu.edu/events/2022/03/26/expungement-clinic/
Weekly Meditation,MARCH 26,https://hub.jhu.edu/events/2022/03/26/weekly-meditation/
Preparatory Spring Dance Showcase,MARCH 26,https://hub.jhu.edu/events/2022/03/26/peabody-preparatory-spring-dance-showcase/
Preparatory Spring Dance Showcase,MARCH 27,https://hub.jhu.edu/events/2022/03/27/peabody-preparatory-spring-dance-showcase/
"Opening: DMC Visiting Artist Hallway Exhibition: Mollye Bendell's ""Outgrown""",MARCH 28,https://hub.jhu.edu/events/2022/03/28/opening-dmc-visiting-artist-hallway-exhibition-mollye-bendell-outgrown/
Johns Hopkins Sustainability Plan Workshop: Zero Waste,MARCH 28,https://hub.jhu.edu/events/2022/03/28/jhu-sustainability-plan-workshop-zero-waste/
BME Virtual Weekly Seminar Series: Lauren Ancel Meyers,MARCH 28,https://hub.jhu.edu/events/2022/03/28/bme-virtual-weekly-seminar-series-lauren-ancel-meyers/
Virtual Sound Rounds,MARCH 28,https://hub.jhu.edu/events/2022/03/28/virtual-sound-rounds/
Emotional Adulting Workshop Series,MARCH 28,https://hub.jhu.edu/events/2022/03/28/emotional-adulting-workshop-series/
Mechanistic Modeling of Signal Transduction and Dynamic Cell Morphologies,MARCH 29,https://hub.jhu.edu/events/2022/03/29/mechanistic-modeling-of-signal-transduction-and-dynamic-cell-morphologies/
CS Seminar Series: YooJung Choi,MARCH 29,https://hub.jhu.edu/events/2022/03/29/cs-seminar-series-yoojung-choi-tractable-probabilistic-reasoning-for-trustworthy-ai/
Best Practices for Data Management and Sharing,MARCH 29,https://hub.jhu.edu/events/2022/03/29/best-practices-for-data-management-and-sharing/
Web Mapping: An Introduction to ArcGIS Online,MARCH 29,https://hub.jhu.edu/events/2022/03/29/web-mapping-an-introduction-to-arcgis-online/
Virtual Sound Rounds,MARCH 29,https://hub.jhu.edu/events/2022/03/29/virtual-sound-rounds/
Chat with a Counselor for LGBTQ+ Students,MARCH 29,https://hub.jhu.edu/events/2022/03/29/chat-with-an-lgbtq-counselor/
Department of Chemistry Colloquium Seminar Series: Andrew Buller,MARCH 29,https://hub.jhu.edu/events/2022/03/29/department-of-chemistry-colloquium-seminar-series-andrew-buller/
"Leading Change: Perspectives from Outside of Medicine ""Conversation Series 2022"" presents Steffanie Bristol",MARCH 29,https://hub.jhu.edu/events/2022/03/29/leading-change-perspectives-from-outside-of-medicine-conversation-series-2022-on-tuesday-march-29-2022-at-5-pm-via-zoom/
Fulbright U.S. Student Program Information Session,MARCH 29,https://hub.jhu.edu/events/2022/03/29/fulbright-us-student-program-information-session/
Strategies for Baltimore City to Better Serve a Growing Latinx Community,MARCH 30,https://hub.jhu.edu/events/2022/03/30/strategies-for-baltimore-city-to-better-serve-a-growing-latinx-community/
"Stop. Think. Invest. The Behavioral Finance and the Savings Life Cycle with Mike Bailey (SAIS '99, Bus '11)",MARCH 30,https://hub.jhu.edu/events/2022/03/30/stop-think-invest-the-behavioral-finance-and-the-savings-life-cycle-with-mike-bailey-sais-99-bus-11/
Introduction to Reproducible Research,MARCH 30,https://hub.jhu.edu/events/2022/03/30/introduction-to-reproducible-research/
Chat with a Counselor for Black Students,MARCH 30,https://hub.jhu.edu/events/2022/03/30/chat-with-a-counselor-for-black-students/
Mindful Yoga,MARCH 30,https://hub.jhu.edu/events/2022/03/30/mindful-yoga/
Building Immersive Environments with Visiting Artist Mollye Bendell,MARCH 30,https://hub.jhu.edu/events/2022/03/30/building-immersive-environments-w-visiting-artist-mollye-bendell-march30/
CS Seminar Series: Pardis Emami-Naeini,MARCH 31,https://hub.jhu.edu/events/2022/03/31/cs-seminar-series-pardis-emami-naeini-empowering-people-to-have-secure-and-private-interactions-with-digital-technologies/
Version Control: Using Git and GitHub,MARCH 31,https://hub.jhu.edu/events/2022/03/31/version-control-using-git-and-github/
Gender & Racial Justice Scholars Research Colloquium,MARCH 31,https://hub.jhu.edu/events/2022/03/31/gender-racial-justice-scholars-research-colloquium/
Black Education for Liberation and Black Activism in Baltimore,MARCH 31,https://hub.jhu.edu/events/2022/03/31/black-education-for-liberation-and-black-activism-in-baltimore/
Web Mapping: Advanced,MARCH 31,https://hub.jhu.edu/events/2022/03/31/web-mapping-advanced/
Computational Medicine Night,MARCH 31,https://hub.jhu.edu/events/2022/03/31/computational-medicine-night/
"Master Class: Manuel Barrueco, Guitar",MARCH 31,https://hub.jhu.edu/events/2022/03/31/peabody-master-class-manuel-barrueco-guitar-2/
International Student Coffee Break & Chat,APRIL 1,https://hub.jhu.edu/events/2022/04/01/international-student-coffee-break-chat/
Johns Hopkins Sustainability Plan Workshop: Built & Natural Environments,APRIL 1,https://hub.jhu.edu/events/2022/04/01/jhu-sustainability-plan-workshop-built-natural-environments/
Building Immersive Environments w/ visiting artist Mollye Bendell,APRIL 1,https://hub.jhu.edu/events/2022/04/01/building-immersive-environments-w-visiting-artist-mollye-bendell-april1/
Visiting Artist Talk and Q&A: Mollye Bendell,APRIL 1,https://hub.jhu.edu/events/2022/04/01/visiting-artist-talk-and-qa-mollye-bendell/
Girls in Sports Day,APRIL 2,https://hub.jhu.edu/events/2022/04/02/girls-in-sports-day/
Weekly Meditation,APRIL 2,https://hub.jhu.edu/events/2022/04/02/weekly-meditation/
"Music at Evergreen: Jonathan Swensen, Cello",APRIL 3,https://hub.jhu.edu/events/2022/04/03/jonathan-swensen-cello/
BME Virtual Weekly Seminar Series: Eric Sundberg,APRIL 4,https://hub.jhu.edu/events/2022/04/04/bme-virtual-weekly-seminar-series-eric-sundberg/
Virtual Sound Rounds,APRIL 4,https://hub.jhu.edu/events/2022/04/04/virtual-sound-rounds/
Chat with an African Counselor,APRIL 4,https://hub.jhu.edu/events/2022/04/04/chat-with-an-african-counselor/
Chat with a Muslim Counselor,APRIL 4,https://hub.jhu.edu/events/2022/04/04/chat-with-a-muslim-counselor/
DMC Workshop: Creative Code in Processing,APRIL 4,https://hub.jhu.edu/events/2022/04/04/dmc-workshop-creative-code-in-processing/
Emotional Adulting Workshop Series,APRIL 4,https://hub.jhu.edu/events/2022/04/04/emotional-adulting-workshop-series/
Fulbright U.S. Student Program Information Session,APRIL 5,https://hub.jhu.edu/events/2022/04/05/fulbright-us-student-program-information-session/
Johns Hopkins Sustainability Plan Workshop: Mobility & Transportation,APRIL 5,https://hub.jhu.edu/events/2022/04/05/jhu-sustainability-plan-workshop-mobility-transportation/
Introduction to Data Visualization in Python,APRIL 5,https://hub.jhu.edu/events/2022/04/05/introduction-to-data-visualization-in-python/
Virtual Sound Rounds,APRIL 5,https://hub.jhu.edu/events/2022/04/05/virtual-sound-rounds/
Department of Chemistry Colloquium Seminar Series: Melanie Sanford,APRIL 5,https://hub.jhu.edu/events/2022/04/05/department-of-chemistry-colloquium-seminar-series-melanie-sanford/
DMC Workshop: Creative Photoshop,APRIL 5,https://hub.jhu.edu/events/2022/04/05/dmc-workshop-creative-photoshop/
Identity Through Art APIDA Heritage Celebration,APRIL 5,https://hub.jhu.edu/events/2022/04/05/identity-through-art-apida-heritage-celebration/
"Author Meghan O'Rourke: ""The Invisible Kingdom: Reimagining Chronic Illness""",APRIL 5,https://hub.jhu.edu/events/2022/04/05/author-meghan-orourke-on-her-book-the-invisible-kingdom-reimagining-chronic-illness/
"The MA in Government program presents Lee Drutman on ""How to Fix American Democracy""",APRIL 6,https://hub.jhu.edu/events/2022/04/06/the-ma-in-government-program-presents-lee-drutman-on-how-to-fix-american-democracy/
From Hepatitis B to COVID-19: Lessons from the Vaccination Campaign,APRIL 6,https://hub.jhu.edu/events/2022/04/06/from-hepatitis-b-to-covid-19-lessons-from-the-vaccination-campaign/
Department of Chemistry Colloquium Seminar Series: Dmitry Matyushov,APRIL 6,https://hub.jhu.edu/events/2022/04/06/department-of-chemistry-colloquium-seminar-series-dmitry-matyushov/
Chat with a Counselor for Black Students,APRIL 6,https://hub.jhu.edu/events/2022/04/06/chat-with-a-counselor-for-black-students/
Ukraine Under Attack: Ongoing Analysis,APRIL 6,https://hub.jhu.edu/events/2022/04/06/ukraine-under-attack-ongoing-analysis/
Virtual Career Fair / Feria Virtual de Carreras,APRIL 6,https://hub.jhu.edu/events/2022/04/06/virtual-career-fair-feria-virtual-de-carreras/
DMC Workshop: Creative Photoshop,APRIL 6,https://hub.jhu.edu/events/2022/04/06/dmc-workshop-creative-photoshop/
Mindful Yoga,APRIL 6,https://hub.jhu.edu/events/2022/04/06/mindful-yoga/
Cowboys and Conductors: Conversations on Horseman-Humanship with Authors Paul Jan Zdunek (Peabody '91) and Dustin Davis,APRIL 7,https://hub.jhu.edu/events/2022/04/07/cowboys-and-conductors-conversations-on-horseman-humanship-with-authors-paul-jan-zdunek-peabody-91-and-dustin-davis/
DMC Workshop: Creative Code in Processing,APRIL 7,https://hub.jhu.edu/events/2022/04/07/dmc-workshop-creative-code-in-processing/
Johns Hopkins Sustainability Plan Student-Only Workshop: Campus Culture & Sustainability,APRIL 7,https://hub.jhu.edu/events/2022/04/07/jhu-sustainability-plan-student-only-workshop-campus-culture-sustainability/
Important Conversations: Diversity and Inclusion in STEM,APRIL 7,https://hub.jhu.edu/events/2022/04/07/important-conversations-diversity-and-inclusion-in-stem/
International Student Coffee Break & Chat,APRIL 8,https://hub.jhu.edu/events/2022/04/08/international-student-coffee-break-chat/
You Sexy Thing: Feminist Science Fiction with Cat Rambo (A&S '90),APRIL 8,https://hub.jhu.edu/events/2022/04/08/you-sexy-thing-feminist-science-fiction-with-cat-rambo-as-90/
Heritage 365 Cultural Experience sponsored by APIDA Heritage Celebration,APRIL 8,https://hub.jhu.edu/events/2022/04/08/heritage-365-cultural-experience-sponsored-by-apida-heritage-celebration/
Weekly Meditation,APRIL 9,https://hub.jhu.edu/events/2022/04/09/weekly-meditation/
Read It & Eat It: The Sheridan Libraries' Virtual Edible Book Festival,APRIL 10,https://hub.jhu.edu/events/2022/04/10/read-it-eat-it-the-sheridan-libraries-virtual-edible-book-festival/
BME Virtual Weekly Seminar Series: Kyle J. Myers,APRIL 11,https://hub.jhu.edu/events/2022/04/11/bme-virtual-weekly-seminar-series-kyle-myers/
Virtual Sound Rounds,APRIL 11,https://hub.jhu.edu/events/2022/04/11/virtual-sound-rounds/
Emotional Adulting Workshop Series,APRIL 11,https://hub.jhu.edu/events/2022/04/11/emotional-adulting-workshop-series/
Faculty Lunch & Learn: Case Studies from Canvas Pilot,APRIL 12,https://hub.jhu.edu/events/2022/04/12/faculty-lunch-learn-case-studies-from-canvas-pilot/
Johns Hopkins Sustainability Plan Workshop: Sustainable Food & Dining,APRIL 12,https://hub.jhu.edu/events/2022/04/12/jhu-sustainability-plan-workshop-sustainable-food-dining/
Virtual Sound Rounds,APRIL 12,https://hub.jhu.edu/events/2022/04/12/virtual-sound-rounds/
Introduction to ArcGIS: Using ArcGIS Pro,APRIL 12,https://hub.jhu.edu/events/2022/04/12/introduction-to-arcgis-using-arcgis-pro/
Chat with a Counselor for LGBTQ+ Students,APRIL 12,https://hub.jhu.edu/events/2022/04/12/chat-with-an-lgbtq-counselor/
What Else Is On the Menu? 420 and Food,APRIL 12,https://hub.jhu.edu/events/2022/04/12/what-else-is-on-the-menu-420-and-food/
Musicology Colloquium: Annegret Fauser,APRIL 12,https://hub.jhu.edu/events/2022/04/12/peabody-musicology-colloquium-annegret-fauser/
Fulbright U.S. Student Program Information Session,APRIL 12,https://hub.jhu.edu/events/2022/04/12/fulbright-us-student-program-information-session/
Data Cleaning in OpenRefine,APRIL 13,https://hub.jhu.edu/events/2022/04/13/data-cleaning-in-openrefine/
Sustainable Solutions: How Delterra is Rethinking Recycling,APRIL 13,https://hub.jhu.edu/events/2022/04/13/sustainable-solutions-how-delterra-is-rethinking-recycling/
Chat with a Counselor for Black Students,APRIL 13,https://hub.jhu.edu/events/2022/04/13/chat-with-a-counselor-for-black-students/
Mindful Yoga,APRIL 13,https://hub.jhu.edu/events/2022/04/13/mindful-yoga/
Foreign Affairs Symposium: Cassie Flynn,APRIL 13,https://hub.jhu.edu/events/2022/04/13/foreign-affairs-symposium-cassie-flynn-head-of-the-un-climate-promise/
Preparatory Composition Studio Recital: Judah Adashi,APRIL 13,https://hub.jhu.edu/events/2022/04/13/peabody-preparatory-composition-studio-recital-judah-adashi/
Introduction to ArcGIS: Geoprocessing in ArcGIS Pro,APRIL 14,https://hub.jhu.edu/events/2022/04/14/introduction-to-arcgis-geoprocessing-in-arcgis-pro/
Heritage 365 Speaker Series: APIDA Heritage Celebration,APRIL 14,https://hub.jhu.edu/events/2022/04/14/heritage-365-speaker-series-apida-heritage-celebration/
International Student Coffee Break & Chat,APRIL 15,https://hub.jhu.edu/events/2022/04/15/international-student-coffee-break-chat/
Weekly Meditation,APRIL 16,https://hub.jhu.edu/events/2022/04/16/weekly-meditation/
Protecting Human Subject Data Privacy: An Introduction,APRIL 18,https://hub.jhu.edu/events/2022/04/18/protecting-human-subject-data-privacy-an-introduction/
Protecting Human Subject Data Privacy: De-Identification Techniques,APRIL 18,https://hub.jhu.edu/events/2022/04/18/protecting-human-subject-data-privacy-de-identification-techniques/
BME Virtual Weekly Seminar Series: Afshin Ahmadian,APRIL 18,https://hub.jhu.edu/events/2022/04/18/bme-virtual-weekly-seminar-series-afshin-ahmadian/
Virtual Sound Rounds,APRIL 18,https://hub.jhu.edu/events/2022/04/18/virtual-sound-rounds/
Chat with an African Counselor,APRIL 18,https://hub.jhu.edu/events/2022/04/18/chat-with-an-african-counselor/
Chat with a Muslim Counselor,APRIL 18,https://hub.jhu.edu/events/2022/04/18/chat-with-a-muslim-counselor/
Johns Hopkins Sustainability Plan Student-Only Workshop: Sustainability Learning & Research,APRIL 18,https://hub.jhu.edu/events/2022/04/18/jhu-sustainability-plan-student-only-workshop-sustainability-learning-research/
Emotional Adulting Workshop Series,APRIL 18,https://hub.jhu.edu/events/2022/04/18/emotional-adulting-workshop-series/
Emerging CEO Panel Series: Getting it Off the Ground,APRIL 19,https://hub.jhu.edu/events/2022/04/19/emerging-ceo-panel-series-session-2/
Virtual Sound Rounds,APRIL 19,https://hub.jhu.edu/events/2022/04/19/virtual-sound-rounds/
Foreign Affairs Symposium: Georges C. Benjamin,APRIL 19,https://hub.jhu.edu/events/2022/04/19/foreign-affairs-symposium-georges-c-benjamin-executive-director-of-the-american-public-health-association/
Introduction to Interactive Data Visualization in R with Shiny,APRIL 20,https://hub.jhu.edu/events/2022/04/20/introduction-to-interactive-data-visualization-in-r-with-shiny-two-3-hr-sessions/
Chat with a Counselor for Black Students,APRIL 20,https://hub.jhu.edu/events/2022/04/20/chat-with-a-counselor-for-black-students/
Mindful Yoga,APRIL 20,https://hub.jhu.edu/events/2022/04/20/mindful-yoga/
Supporting Autistic Students: Changing the Narrative,APRIL 20,https://hub.jhu.edu/events/2022/04/20/supporting-autistic-students-changing-the-narrative/
Fulbright U.S. Student Program Information Session,APRIL 20,https://hub.jhu.edu/events/2022/04/20/fulbright-us-student-program-information-session/
Introduction to Interactive Data Visualization in R with Shiny,APRIL 21,https://hub.jhu.edu/events/2022/04/21/introduction-to-interactive-data-visualization-in-r-with-shiny-two-3-hr-sessions/
Introduction to Python for Absolute Beginners ,APRIL 21,https://hub.jhu.edu/events/2022/04/21/introduction-to-python-for-absolute-beginners/
International Student Coffee Break & Chat,APRIL 22,https://hub.jhu.edu/events/2022/04/22/international-student-coffee-break-chat/
"Intermittent Fasting Transformation: IF45 with Cynthia Thurlow (Nursing '98, '01)",APRIL 22,https://hub.jhu.edu/events/2022/04/22/intermittent-fasting-transformation-if45-with-cynthia-thurlow-np-nursing-98-01/
Weekly Meditation,APRIL 23,https://hub.jhu.edu/events/2022/04/23/weekly-meditation/
Hopkins Symphony Orchestra: Arukah: Healing + Restoration,APRIL 23,https://hub.jhu.edu/events/2022/04/23/hopkins-symphony-orchestraarukah-healing-restoration/
Malaria in Africa: Translating Science into Practice | World Malaria Day Symposium,APRIL 25,https://hub.jhu.edu/events/2022/04/25/malaria-in-africa-translating-science-into-practice-world-malaria-day-symposium/
BME Virtual Weekly Seminar Series: Wayne A. Marasco,APRIL 25,https://hub.jhu.edu/events/2022/04/25/bme-virtual-weekly-seminar-series-wayne-marasco/
Virtual Sound Rounds,APRIL 25,https://hub.jhu.edu/events/2022/04/25/virtual-sound-rounds/
Emotional Adulting Workshop Series,APRIL 25,https://hub.jhu.edu/events/2022/04/25/emotional-adulting-workshop-series/
Best Practices for Data Management and Sharing,APRIL 26,https://hub.jhu.edu/events/2022/04/26/best-practices-for-data-management-and-sharing/
Virtual Sound Rounds,APRIL 26,https://hub.jhu.edu/events/2022/04/26/virtual-sound-rounds/
Bringing Your Research Alive with StoryMaps,APRIL 26,https://hub.jhu.edu/events/2022/04/26/bringing-your-research-alive-with-storymaps/
Chat with a Counselor for LGBTQ+ Students,APRIL 26,https://hub.jhu.edu/events/2022/04/26/chat-with-an-lgbtq-counselor/
Johns Hopkins Sustainability Plan Student-Only Workshop: Emerging Solutions,APRIL 26,https://hub.jhu.edu/events/2022/04/26/jhu-sustainability-plan-student-only-workshop-emerging-solutions/
Musicology Colloquium: Anicia Timberlake,APRIL 26,https://hub.jhu.edu/events/2022/04/26/peabody-musicology-colloquium-anicia-timberlake/
Fulbright U.S. Student Program Information Session,APRIL 27,https://hub.jhu.edu/events/2022/04/27/fulbright-us-student-program-information-session/
Scripting with Python in ArcGIS Online,APRIL 27,https://hub.jhu.edu/events/2022/04/27/scripting-with-python-in-arcgis-online/
Chat with a Counselor for Black Students,APRIL 27,https://hub.jhu.edu/events/2022/04/27/chat-with-a-counselor-for-black-students/
Mindful Yoga,APRIL 27,https://hub.jhu.edu/events/2022/04/27/mindful-yoga/
Allies and Rivals: German-American Exchange and the Rise of the Modern Research University,APRIL 27,https://hub.jhu.edu/events/2022/04/27/german-american-exchange-modern-research-university/
Johns Hopkins Sustainability Plan Workshop: Emerging Solutions,APRIL 28,https://hub.jhu.edu/events/2022/04/28/jhu-sustainability-plan-workshop-emerging-solutions/
Joining Data in ArcGIS Online,APRIL 28,https://hub.jhu.edu/events/2022/04/28/joining-data-in-arcgis-online/
International Student Coffee Break & Chat,APRIL 29,https://hub.jhu.edu/events/2022/04/29/international-student-coffee-break-chat/
Virtual Sound Rounds,MAY 2,https://hub.jhu.edu/events/2022/05/02/virtual-sound-rounds/
Chat with an African Counselor,MAY 2,https://hub.jhu.edu/events/2022/05/02/chat-with-an-african-counselor/
Chat with a Muslim Counselor,MAY 2,https://hub.jhu.edu/events/2022/05/02/chat-with-a-muslim-counselor/
Virtual Sound Rounds,MAY 3,https://hub.jhu.edu/events/2022/05/03/virtual-sound-rounds/
Department of Chemistry Colloquium Seminar Series: Benjamin Swartz,MAY 3,https://hub.jhu.edu/events/2022/05/03/department-of-chemistry-colloquium-seminar-series-benjamin-swartz/
Provost's Teaching with Technology DELTA Symposium,MAY 5,https://hub.jhu.edu/events/2022/05/05/provosts-teaching-with-technology-delta-symposium/
Virtual Sound Rounds,MAY 9,https://hub.jhu.edu/events/2022/05/09/virtual-sound-rounds/
Virtual Sound Rounds,MAY 10,https://hub.jhu.edu/events/2022/05/10/virtual-sound-rounds/
The 21st Annual Daniel Nathans Lecture in the Department of Molecular Biology and Genetics,MAY 12,https://hub.jhu.edu/events/2022/05/12/the-21st-annual-daniel-nathans-lecture-in-the-department-of-molecular-biology-and-genetics/
Convent-ional Wisdom: Conserving the Women of the Book Collection,MAY 13,https://hub.jhu.edu/events/2022/05/13/convent-ional-wisdom-conserving-the-women-of-the-book-collection/
Virtual Sound Rounds,MAY 16,https://hub.jhu.edu/events/2022/05/16/virtual-sound-rounds/
"Closing: DMC Visiting Artist Hallway Exhibition: Mollye Bendell's ""Outgrown""",MAY 17,https://hub.jhu.edu/events/2022/05/17/closing-dmc-visiting-artist-hallway-exhibition-mollye-bendell-outgrown/
Virtual Sound Rounds,MAY 17,https://hub.jhu.edu/events/2022/05/17/virtual-sound-rounds/
Virtual Sound Rounds,MAY 23,https://hub.jhu.edu/events/2022/05/23/virtual-sound-rounds/
Virtual Sound Rounds,MAY 24,https://hub.jhu.edu/events/2022/05/24/virtual-sound-rounds/
"Creative Acts for Curious People: How to Think, Create, and Lead in Unconventional Ways",MAY 25,https://hub.jhu.edu/events/2022/05/25/creative-acts-for-curious-people/
Writing Data Management Plans with DMPTool,JUNE 1,https://hub.jhu.edu/events/2022/06/01/writing-data-management-plans-with-dmptool/
Empires of Ideas: Creating the Modern University from Germany to America to China,JUNE 22,https://hub.jhu.edu/events/2022/06/22/empire-of-ideas/
Other People's Colleges: The Origins of American Higher Education Reform,JULY 27,https://hub.jhu.edu/events/2022/07/27/american-higher-education-reform/
Doing the Right Thing: How Colleges and Universities Can Undo Systemic Racism in Faculty Hiring,AUG 24,https://hub.jhu.edu/events/2022/08/24/undo-systemic-racism-faculty-hiring/
